epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.725,1.34445,2.02987,1.2534,0.65417,0.74566,0.75799,0.57182,1.19666,0.96954,1.13195,0.00017518,0.00017518,0.00017518
2,412.868,1.22543,1.07939,1.13626,0.73591,0.75055,0.81396,0.61925,1.16078,0.82373,1.10438,0.000315812,0.000315812,0.000315812
3,585.406,1.20215,0.88047,1.12117,0.79655,0.8009,0.85125,0.66284,1.1484,0.76781,1.09474,0.000421729,0.000421729,0.000421729
4,760.981,1.1752,0.79543,1.10666,0.7955,0.78482,0.84847,0.67001,1.13658,0.74556,1.08965,0.000369778,0.000369778,0.000369778
5,936.733,1.14644,0.73477,1.09174,0.82328,0.83534,0.87175,0.69518,1.10236,0.68013,1.07032,0.000317704,0.000317704,0.000317704
6,1108.49,1.12825,0.69359,1.07932,0.8631,0.83919,0.88706,0.72049,1.10749,0.64901,1.06033,0.00026563,0.00026563,0.00026563
7,1281.1,1.10622,0.65592,1.0668,0.82903,0.87495,0.89568,0.73449,1.08338,0.62538,1.05092,0.000213556,0.000213556,0.000213556
8,1453.38,1.0868,0.62748,1.05378,0.88102,0.85532,0.91261,0.76357,1.06956,0.59358,1.03768,0.000161482,0.000161482,0.000161482
9,1625.48,1.06972,0.59595,1.04193,0.84292,0.90349,0.90746,0.77216,1.05597,0.58559,1.03368,0.000109408,0.000109408,0.000109408
10,1783.5,1.04981,0.57103,1.03279,0.89281,0.88777,0.9208,0.79295,1.04992,0.56599,1.02662,5.7334e-05,5.7334e-05,5.7334e-05
